transaction_id,customer_id,amount,transaction_hour,transaction_day,location,transaction_type,transaction_freq_7d,avg_amount_7d,amount_deviation,is_night,is_weekend,is_fraud
TXN849107708,CUST6540022,87.67,21,0,online,online,10,52.31,0.676,0,0,0
TXN471224534,CUST8044050,139.04,14,4,urban,atm,2,85.48,0.6266,0,0,0
TXN332804281,CUST4168432,167.0,15,4,urban,pos,10,103.18,0.6185,0,0,0
TXN394701349,CUST6617115,110.39,18,3,rural,wire_transfer,3,75.15,0.469,0,0,0
TXN906332138,CUST5828258,280.8,13,0,rural,pos,12,286.6,-0.0203,0,0,0
TXN814281237,CUST4632892,48.13,18,6,rural,pos,15,62.76,-0.2331,0,1,0
TXN908054235,CUST9501773,123.84,13,6,international,online,14,64.17,0.93,0,1,0
TXN853250056,CUST5684970,957.59,16,0,urban,pos,12,929.82,0.0299,0,0,0
TXN153893421,CUST6530844,147.4,11,3,suburban,online,13,106.15,0.3886,0,0,0
TXN750650239,CUST3432227,367.01,10,2,suburban,online,17,472.15,-0.2227,0,0,0
TXN382397670,CUST9989745,359.81,9,0,rural,pos,2,183.02,0.966,0,0,0
TXN844405157,CUST6430637,78.41,20,5,suburban,wire_transfer,4,110.69,-0.2916,0,1,0
TXN974476657,CUST8256435,616.54,18,0,online,pos,6,904.33,-0.3182,0,0,0
TXN987592691,CUST5657024,64.89,21,6,suburban,online,15,72.5,-0.105,0,1,0
TXN583222887,CUST6681223,380.44,11,5,rural,pos,7,356.59,0.0669,0,1,0
TXN421983854,CUST2631965,58.68,14,4,online,contactless,14,67.2,-0.1269,0,0,0
TXN338652865,CUST4141108,948.27,19,1,online,pos,4,1264.54,-0.2501,0,0,0
TXN331608440,CUST5651442,988.37,12,2,urban,online,12,1038.69,-0.0484,0,0,0
TXN714276267,CUST2337081,1100.21,18,0,suburban,contactless,4,1159.36,-0.051,0,0,0
TXN526383904,CUST9188879,288.09,18,5,suburban,pos,5,376.27,-0.2343,0,1,0
TXN936012379,CUST1789928,620.79,13,3,urban,wire_transfer,16,906.04,-0.3148,0,0,0
TXN260749528,CUST3739218,127.49,17,1,urban,pos,4,124.62,0.0231,0,0,0
TXN143426097,CUST2201971,184.04,21,6,urban,pos,7,218.96,-0.1595,0,1,0
TXN116033154,CUST2569526,223.66,9,1,urban,wire_transfer,15,162.33,0.3778,0,0,0
TXN403307373,CUST3852115,84.32,14,2,rural,atm,2,85.04,-0.0085,0,0,0
TXN128890658,CUST9974850,158.5,15,5,online,online,1,121.44,0.3052,0,1,0
TXN263210379,CUST4353576,49.2,13,1,online,online,2,35.01,0.4051,0,0,0
TXN625636736,CUST1101041,264.31,11,5,suburban,online,12,171.77,0.5388,0,1,0
TXN920377419,CUST1206385,134.9,21,1,urban,atm,9,72.25,0.8671,0,0,0
TXN692359040,CUST1828566,155.83,12,1,urban,pos,14,197.12,-0.2095,0,0,0
TXN727244466,CUST9520994,352.68,13,4,urban,pos,2,308.26,0.1441,0,0,0
TXN732192982,CUST8701847,8655.55,3,1,online,wire_transfer,1,9237.06,-0.063,1,0,1
TXN966594850,CUST1965536,214.79,14,6,international,pos,6,197.76,0.0861,0,1,0
TXN206060108,CUST6536947,100.94,18,2,suburban,contactless,17,133.83,-0.2458,0,0,0
TXN920547216,CUST3506001,464.13,18,1,online,pos,9,487.53,-0.048,0,0,0
TXN437267903,CUST5354295,224.47,11,6,suburban,pos,11,202.74,0.1072,0,1,0
TXN939655255,CUST3220028,291.0,15,0,urban,pos,5,347.73,-0.1631,0,0,0
TXN298764660,CUST3380844,196.03,8,3,suburban,pos,17,241.5,-0.1883,0,0,0
TXN555440536,CUST1121853,93.96,21,6,urban,pos,7,117.69,-0.2016,0,1,0
TXN717724546,CUST3099926,142.06,11,3,urban,wire_transfer,1,78.5,0.8097,0,0,0
TXN733162675,CUST5295673,186.51,20,1,international,online,11,127.88,0.4585,0,0,0
TXN659254598,CUST3243253,476.86,11,2,online,wire_transfer,1,291.46,0.6361,0,0,0
TXN674418310,CUST8588495,332.59,14,4,online,pos,8,451.15,-0.2628,0,0,0
TXN933476422,CUST2420993,62.8,14,4,suburban,pos,12,57.14,0.099,0,0,0
TXN463132364,CUST8354666,50.41,10,4,online,online,9,48.42,0.0411,0,0,0
TXN394904321,CUST8748934,221.92,8,6,urban,online,16,325.56,-0.3183,0,1,0
TXN937488434,CUST8555168,315.17,19,6,suburban,online,14,329.46,-0.0434,0,1,0
TXN809150650,CUST6323717,203.6,15,1,rural,pos,17,199.02,0.023,0,0,0
TXN636210987,CUST8604299,843.24,20,5,online,wire_transfer,13,1239.47,-0.3197,0,1,0
TXN659034280,CUST2166163,92.59,16,3,urban,online,13,106.41,-0.1299,0,0,0
TXN525598575,CUST4236860,234.91,17,4,rural,atm,17,139.69,0.6816,0,0,0
TXN995865426,CUST8800551,919.97,11,0,suburban,wire_transfer,12,1137.39,-0.1912,0,0,0
TXN502066517,CUST6993716,402.56,9,5,online,online,10,205.27,0.9612,0,1,0
TXN179603337,CUST1507860,216.95,19,1,rural,wire_transfer,19,231.78,-0.064,0,0,0
TXN841509149,CUST1856018,335.13,14,1,suburban,pos,14,276.01,0.2142,0,0,0
TXN606858617,CUST6941952,61.7,11,5,online,wire_transfer,19,85.94,-0.2821,0,1,0
TXN527014905,CUST4002194,90.96,12,0,online,pos,17,52.02,0.7484,0,0,0
TXN599607633,CUST7592263,581.73,16,0,urban,online,5,869.19,-0.3307,0,0,0
TXN152723591,CUST4790798,402.7,10,5,international,online,7,522.43,-0.2292,0,1,0
TXN591231639,CUST3693277,287.08,17,0,suburban,wire_transfer,19,312.97,-0.0827,0,0,0
TXN797606128,CUST8389076,438.26,20,3,international,atm,9,349.56,0.2538,0,0,0
TXN907686612,CUST7092874,42.57,18,6,online,pos,4,29.83,0.4271,0,1,0
TXN403552007,CUST6590485,502.31,4,5,international,online,4,355.44,0.4132,1,1,1
TXN339066372,CUST1831943,248.34,9,3,urban,pos,3,271.98,-0.0869,0,0,0
TXN281540040,CUST8581229,300.69,14,4,suburban,atm,17,175.37,0.7146,0,0,0
TXN511752131,CUST1465762,444.22,20,4,rural,online,11,611.8,-0.2739,0,0,0
TXN112691425,CUST2286474,251.31,17,4,urban,online,15,274.07,-0.083,0,0,0
TXN902115901,CUST3030677,251.67,15,4,urban,online,18,253.56,-0.0075,0,0,0
TXN112452066,CUST2571518,226.45,14,4,rural,online,9,115.74,0.9564,0,0,0
TXN238084631,CUST2713089,1005.25,21,4,rural,wire_transfer,13,603.51,0.6657,0,0,0
TXN524693240,CUST8315611,457.81,10,6,online,pos,11,344.85,0.3276,0,1,0
TXN665398251,CUST2354178,432.09,8,3,suburban,pos,9,301.58,0.4327,0,0,0
TXN175568257,CUST7607297,252.02,14,1,online,atm,13,238.77,0.0555,0,0,0
TXN661999575,CUST9275962,33.38,11,2,urban,atm,14,26.34,0.2671,0,0,0
TXN619616907,CUST8239225,707.23,16,6,online,atm,13,996.22,-0.2901,0,1,0
TXN228001169,CUST2232417,66.16,15,5,urban,pos,11,40.9,0.6178,0,1,0
TXN597979795,CUST8187272,551.46,14,2,online,atm,14,449.79,0.226,0,0,0
TXN828135904,CUST3740259,110.8,16,3,online,online,14,86.28,0.2841,0,0,0
TXN815915215,CUST5243007,1160.85,12,5,suburban,online,13,616.98,0.8815,0,1,0
TXN314891685,CUST4278131,737.62,4,3,online,atm,1,952.95,-0.226,1,0,1
TXN448816751,CUST7333895,265.31,15,2,urban,pos,15,192.29,0.3797,0,0,0
TXN608482560,CUST1104907,261.65,9,5,online,pos,15,131.36,0.9918,0,1,0
TXN799428692,CUST5882203,241.8,11,4,online,pos,6,241.27,0.0022,0,0,0
TXN345843682,CUST9071032,113.17,21,6,online,atm,10,73.3,0.5439,0,1,0
TXN181678023,CUST6374282,93.19,16,3,online,online,18,111.89,-0.1671,0,0,0
TXN921803254,CUST9811528,167.12,21,6,online,online,18,219.9,-0.24,0,1,0
TXN460958034,CUST8194770,99.45,13,0,international,pos,18,110.34,-0.0987,0,0,0
TXN323252591,CUST6333878,3735.66,22,1,international,online,4,4321.79,-0.1356,0,0,1
TXN734475742,CUST8588886,1056.91,14,4,online,pos,4,1455.26,-0.2737,0,0,0
TXN740209210,CUST2071972,199.61,17,2,suburban,online,11,144.0,0.3861,0,0,0
TXN444985228,CUST4598327,276.27,9,1,online,atm,11,287.42,-0.0388,0,0,0
TXN860159128,CUST8294508,205.06,8,0,urban,atm,17,137.98,0.4861,0,0,0
TXN162312228,CUST4768275,271.42,21,3,urban,pos,13,334.07,-0.1875,0,0,0
TXN598541309,CUST6083667,945.3,10,5,rural,atm,10,1226.23,-0.2291,0,1,0
TXN416599591,CUST8461245,500.64,19,6,urban,atm,14,729.37,-0.3136,0,1,0
TXN565562026,CUST8578600,90.02,14,2,online,pos,14,101.54,-0.1134,0,0,0
TXN961716254,CUST1047464,404.67,15,1,online,atm,12,320.32,0.2633,0,0,0
TXN471672379,CUST6613059,238.94,15,2,urban,contactless,7,270.6,-0.117,0,0,0
TXN799828128,CUST3256953,387.02,5,5,international,online,2,272.82,0.4186,1,1,1
TXN466908515,CUST9998035,791.93,16,0,urban,online,16,811.29,-0.0239,0,0,0
TXN893139105,CUST3446655,157.67,8,6,suburban,online,3,199.69,-0.2104,0,1,0
TXN361289444,CUST6145171,71.07,18,5,online,online,10,78.53,-0.095,0,1,0
TXN405913504,CUST4438266,186.38,9,2,urban,atm,12,213.86,-0.1285,0,0,0
TXN416848679,CUST2164780,889.27,10,4,urban,online,5,493.19,0.8031,0,0,0
TXN853715654,CUST9821463,3167.71,16,6,online,pos,13,4096.15,-0.2267,0,1,0
TXN476001894,CUST9157041,526.64,16,2,urban,online,18,785.94,-0.3299,0,0,0
TXN802929798,CUST8456562,616.06,9,4,rural,contactless,17,652.59,-0.056,0,0,0
TXN975821677,CUST9531810,235.54,11,0,urban,pos,7,317.52,-0.2582,0,0,0
TXN108610739,CUST5617727,1718.73,10,4,rural,online,1,2131.02,-0.1935,0,0,0
TXN979536505,CUST4200602,343.99,0,2,online,online,4,347.83,-0.011,1,0,1
TXN771690604,CUST5069319,214.31,18,2,suburban,online,15,302.15,-0.2907,0,0,0
TXN543996328,CUST5591648,35.33,8,3,suburban,pos,2,39.41,-0.1035,0,0,0
TXN845311282,CUST9442154,583.36,14,0,suburban,online,19,827.43,-0.295,0,0,0
TXN611553587,CUST9896673,314.96,9,2,online,wire_transfer,15,402.63,-0.2177,0,0,0
TXN737193527,CUST6237793,189.33,9,3,suburban,pos,2,152.26,0.2434,0,0,0
TXN457859892,CUST8341072,162.7,14,3,urban,online,10,148.26,0.0974,0,0,0
TXN816954033,CUST2457369,176.38,14,5,urban,online,12,205.26,-0.1407,0,1,0
TXN363013422,CUST4999489,72.11,10,4,rural,atm,5,76.33,-0.0553,0,0,0
TXN719810749,CUST6170222,917.4,17,3,urban,pos,5,876.85,0.0462,0,0,0
TXN739138113,CUST4675833,231.65,19,2,urban,pos,4,330.85,-0.2998,0,0,0
TXN583784262,CUST1212084,133.66,20,5,suburban,contactless,14,156.71,-0.1471,0,1,0
TXN315935221,CUST6409573,1185.49,17,3,online,online,10,805.26,0.4722,0,0,0
TXN779703191,CUST5394091,242.38,14,4,urban,online,19,326.98,-0.2587,0,0,0
TXN483208232,CUST6588435,682.22,11,2,urban,atm,4,758.52,-0.1006,0,0,0
TXN816173986,CUST8001351,434.09,12,1,online,online,2,295.41,0.4695,0,0,0
TXN780984060,CUST4509763,271.63,16,1,online,contactless,13,224.13,0.2119,0,0,0
TXN926260637,CUST9526076,191.8,18,5,urban,atm,14,96.5,0.9874,0,1,0
TXN588385421,CUST8527222,492.82,16,1,urban,pos,3,534.8,-0.0785,0,0,0
TXN565073885,CUST9586606,122.29,9,3,suburban,pos,10,155.73,-0.2148,0,0,0
TXN792240982,CUST3203863,1286.08,3,2,online,atm,3,920.17,0.3976,1,0,1
TXN819676811,CUST2243184,427.81,16,1,urban,online,11,337.62,0.2671,0,0,0
TXN283355450,CUST9625887,338.27,18,2,urban,online,1,466.8,-0.2754,0,0,0
TXN199636508,CUST5055520,303.8,18,3,online,wire_transfer,5,238.8,0.2722,0,0,0
TXN865505808,CUST4110243,519.01,16,5,online,online,4,616.58,-0.1583,0,1,0
TXN147271976,CUST8465050,109.5,15,3,online,contactless,7,142.12,-0.2295,0,0,0
TXN795349841,CUST2189347,145.34,15,4,suburban,online,9,132.23,0.0992,0,0,0
TXN769492442,CUST3980794,1759.53,9,4,urban,pos,19,2167.57,-0.1882,0,0,0
TXN225007815,CUST8345344,2412.0,5,2,online,online,1,2631.63,-0.0835,1,0,1
TXN229978817,CUST8944302,439.27,8,0,rural,pos,2,572.73,-0.233,0,0,0
TXN516850023,CUST3188793,785.37,9,4,online,pos,17,916.88,-0.1434,0,0,0
TXN531398170,CUST7366749,73.19,18,0,urban,wire_transfer,7,40.54,0.8052,0,0,0
TXN714936289,CUST9846171,353.39,10,2,suburban,atm,13,305.45,0.1569,0,0,0
TXN458057895,CUST6669565,150.63,21,6,suburban,wire_transfer,9,192.57,-0.2178,0,1,0
TXN984104636,CUST5805683,234.17,11,3,online,contactless,13,248.91,-0.0592,0,0,0
TXN841825801,CUST7928734,267.85,15,0,urban,online,1,341.54,-0.2158,0,0,0
TXN686940879,CUST8774401,624.9,4,6,online,online,3,769.94,-0.1884,1,1,1
TXN909426707,CUST5168871,164.91,15,6,urban,online,12,205.98,-0.1994,0,1,0
TXN719157677,CUST1468889,124.61,19,0,urban,pos,12,135.82,-0.0825,0,0,0
TXN329780919,CUST5100314,216.94,12,5,online,contactless,4,216.52,0.0019,0,1,0
TXN407935342,CUST6747162,202.53,8,0,urban,atm,12,283.87,-0.2865,0,0,0
TXN379927262,CUST1531517,121.58,9,3,suburban,online,11,133.02,-0.086,0,0,0
TXN132930797,CUST4367621,345.26,0,6,international,online,2,398.75,-0.1341,1,1,1
TXN199008540,CUST5600650,261.5,11,1,urban,wire_transfer,7,245.86,0.0636,0,0,0
TXN172137192,CUST5211316,188.0,13,5,urban,pos,3,191.92,-0.0204,0,1,0
TXN151003379,CUST7475336,148.54,11,0,online,pos,19,214.56,-0.3077,0,0,0
TXN199011714,CUST6340288,215.57,18,1,international,online,17,169.36,0.2728,0,0,0
TXN231851613,CUST5789767,211.17,13,3,urban,contactless,7,234.35,-0.0989,0,0,0
TXN790293138,CUST3600901,231.51,10,1,online,pos,18,118.75,0.9495,0,0,0
TXN909453455,CUST3831419,142.68,9,4,suburban,atm,9,162.12,-0.1199,0,0,0
TXN779942644,CUST7908452,84.21,17,4,online,pos,11,73.02,0.1532,0,0,0
TXN697591316,CUST3966848,159.35,17,0,urban,contactless,7,198.36,-0.1967,0,0,0
TXN880466871,CUST9450530,256.58,19,5,suburban,wire_transfer,9,195.37,0.3133,0,1,0
TXN713680414,CUST7724498,1221.54,15,5,urban,pos,12,788.34,0.5495,0,1,0
TXN393237609,CUST9970007,123.23,10,5,rural,online,1,85.47,0.4418,0,1,0
TXN934817855,CUST2973135,82.72,9,6,urban,pos,12,46.63,0.7742,0,1,0
TXN630482293,CUST1475089,653.76,2,3,online,online,3,496.77,0.316,1,0,1
TXN207556731,CUST8336211,737.74,10,4,suburban,atm,10,753.11,-0.0204,0,0,0
TXN277750875,CUST4780975,323.47,16,2,online,contactless,8,399.18,-0.1897,0,0,0
TXN175079938,CUST9408449,599.56,9,1,suburban,atm,4,388.38,0.5437,0,0,0
TXN645631619,CUST3467381,117.51,15,5,suburban,pos,15,140.72,-0.1649,0,1,0
TXN161318760,CUST1989408,184.33,10,4,suburban,atm,17,200.23,-0.0794,0,0,0
TXN942110300,CUST1016555,75.23,18,0,online,pos,6,79.71,-0.0562,0,0,0
TXN162774233,CUST6550561,240.85,17,6,suburban,contactless,16,186.38,0.2923,0,1,0
TXN240034096,CUST9231777,101.35,10,4,urban,atm,14,112.61,-0.1,0,0,0
TXN367983964,CUST6725323,,20,3,suburban,atm,15,80.97,0.2585,0,0,0
TXN758624883,CUST4915590,653.25,12,0,urban,online,17,951.3,-0.3133,0,0,0
TXN895212274,CUST5720798,149.88,16,1,urban,pos,8,116.31,0.2886,0,0,0
TXN134890416,CUST3960955,138.68,9,1,international,online,10,134.89,0.0281,0,0,0
TXN633084691,CUST1591099,65.1,20,3,suburban,contactless,4,65.91,-0.0123,0,0,0
